timestamp,client_id,buffer_size_bytes,max_buffer_size_bytes,buffer_overflows,packets_total,packets_complete,packets_fragmented,fragmentation_rate,streams_active,streams_max_concurrent,throughput_mbps,avg_processing_time_ms,avg_buffer_wait_ms
2025-08-05T18:17:46.178238,client_134025785730608,0,0,0,0,0,0,0.0,0,0,0.0,0,0
2025-08-05T18:17:51.178945,client_134025785730608,6090,16924,0,759,72,687,0.905,5,5,0.3022,0.02,0.03
2025-08-05T18:17:56.180213,client_134025785730608,0,16994,0,2111,197,1914,0.907,5,5,0.2946,0.02,0.02
2025-08-05T18:18:01.181790,client_134025785730608,0,17157,0,3454,321,3133,0.907,5,5,0.3034,0.02,0.02
2025-08-05T18:18:06.183547,client_134025785730608,0,17157,0,4795,445,4350,0.907,5,5,0.2995,0.02,0.02
2025-08-05T18:18:11.185565,client_134025785730608,0,17157,0,6152,570,5582,0.907,5,5,0.2927,0.02,0.02
2025-08-05T18:18:16.188145,client_134025785730608,0,17157,0,7495,694,6801,0.907,5,5,0.3072,0.02,0.02
2025-08-05T18:18:21.189747,client_134025785730608,0,17157,0,8853,819,8034,0.907,5,5,0.3002,0.02,0.02
2025-08-05T18:18:26.192013,client_134025785730608,0,17157,0,10188,943,9245,0.907,5,5,0.3005,0.02,0.02
2025-08-05T18:18:31.194940,client_134025785730608,0,17157,0,11538,1067,10471,0.908,5,5,0.297,0.02,0.02
2025-08-05T18:18:36.199202,client_134025785730608,0,17157,0,12895,1192,11703,0.908,5,5,0.306,0.02,0.02
2025-08-05T18:18:41.202087,client_134025785730608,0,17157,0,14247,1318,12929,0.907,5,5,0.2932,0.02,0.02
2025-08-05T18:18:46.207234,client_134025785730608,0,17157,0,15560,1442,14118,0.907,5,5,0.2818,0.02,0.02
2025-08-05T18:18:51.211233,client_134025785730608,0,17157,0,16905,1567,15338,0.907,5,5,0.3049,0.02,0.02
2025-08-05T18:18:56.214844,client_134025785730608,4872,17157,0,18251,1692,16559,0.907,5,5,0.2985,0.02,0.02
2025-08-05T18:19:01.219945,client_134025785730608,0,17858,0,19603,1817,17786,0.907,5,5,0.299,0.02,0.02
2025-08-05T18:19:06.224103,client_134025785730608,0,17858,0,20999,1941,19058,0.908,5,5,0.3094,0.02,0.02
2025-08-05T18:19:11.229095,client_134025785730608,2436,17858,0,22388,2064,20324,0.908,5,5,0.3,0.02,0.02
2025-08-05T18:19:16.232171,client_134025785730608,0,17858,0,23799,2189,21610,0.908,5,5,0.3247,0.02,0.02
2025-08-05T18:19:21.235619,client_134025785730608,0,17858,0,25194,2313,22881,0.908,5,5,0.3073,0.02,0.02
2025-08-05T18:19:26.240764,client_134025785730608,0,17858,0,26595,2437,24158,0.908,5,5,0.2986,0.02,0.02
2025-08-05T18:19:31.245705,client_134025785730608,0,17858,0,28003,2562,25441,0.909,5,5,0.3063,0.02,0.02
2025-08-05T18:19:36.250086,client_134025785730608,0,17858,0,29378,2685,26693,0.909,5,5,0.3074,0.02,0.02
2025-08-05T18:19:41.254854,client_134025785730608,0,17858,0,30750,2809,27941,0.909,5,5,0.3124,0.02,0.02
2025-08-05T18:19:46.259977,client_134025785730608,0,17858,0,32143,2934,29209,0.909,5,5,0.3054,0.02,0.02
2025-08-05T18:19:51.265771,client_134025785730608,0,17858,0,33513,3059,30454,0.909,5,5,0.3032,0.02,0.02
2025-08-05T18:19:56.272107,client_134025785730608,0,17858,0,34898,3182,31716,0.909,5,5,0.2994,0.02,0.02
2025-08-05T18:20:01.278716,client_134025785730608,0,17858,0,36321,3308,33013,0.909,5,5,0.3065,0.02,0.02
2025-08-05T18:20:06.287339,client_134025785730608,0,17858,0,37714,3432,34282,0.909,5,5,0.3066,0.02,0.02
2025-08-05T18:20:11.293751,client_134025785730608,0,17858,0,39116,3557,35559,0.909,5,5,0.2972,0.02,0.02
2025-08-05T18:20:16.300822,client_134025785730608,0,17858,0,40496,3681,36815,0.909,5,5,0.3053,0.02,0.02
2025-08-05T18:20:21.307480,client_134025785730608,0,17858,0,41867,3805,38062,0.909,5,5,0.3046,0.02,0.02
2025-08-05T18:20:26.317454,client_134025785730608,8526,17959,0,43222,3928,39294,0.909,5,5,0.2957,0.02,0.02
2025-08-05T18:20:31.325849,client_134025785730608,0,17959,0,44628,4053,40575,0.909,5,5,0.3248,0.02,0.02
2025-08-05T18:20:36.332677,client_134025785730608,12180,17959,0,46033,4177,41856,0.909,5,5,0.3077,0.02,0.02
2025-08-05T18:20:41.338374,client_134025785730608,8526,17959,0,47416,4300,43116,0.909,5,5,0.3058,0.02,0.02
2025-08-05T18:20:46.346665,client_134025785730608,0,17959,0,48792,4424,44368,0.909,5,5,0.3056,0.02,0.02
2025-08-05T18:20:51.354910,client_134025785730608,0,17959,0,50204,4549,45655,0.909,5,5,0.3084,0.02,0.02
2025-08-05T18:20:56.362685,client_134025785730608,0,17959,0,51616,4674,46942,0.909,5,5,0.3097,0.02,0.02
2025-08-05T18:21:01.374325,client_134025785730608,15834,17959,0,53022,4797,48225,0.91,5,5,0.3094,0.02,0.02
2025-08-05T18:21:06.381285,client_134025785730608,0,17959,0,54436,4923,49513,0.91,5,5,0.3087,0.02,0.02
2025-08-05T18:21:11.388962,client_134025785730608,0,17959,0,55832,5047,50785,0.91,5,5,0.3198,0.02,0.02
2025-08-05T18:21:16.401973,client_134025785730608,0,17959,0,57241,5171,52070,0.91,5,5,0.3091,0.02,0.02
2025-08-05T18:21:21.410301,client_134025785730608,0,17959,0,58656,5296,53360,0.91,5,5,0.2982,0.02,0.02
2025-08-05T18:21:26.419288,client_134025785730608,0,17959,0,60052,5420,54632,0.91,5,5,0.3244,0.02,0.02
2025-08-05T18:21:31.429247,client_134025785730608,0,17959,0,61441,5543,55898,0.91,5,5,0.3092,0.02,0.02
2025-08-05T18:21:36.440629,client_134025785730608,0,17959,0,62856,5668,57188,0.91,5,5,0.3038,0.02,0.02
2025-08-05T18:21:41.447518,client_134025785730608,0,17979,0,64270,5793,58477,0.91,5,5,0.3124,0.02,0.02
2025-08-05T18:21:46.457528,client_134025785730608,6954,17979,0,65670,5916,59754,0.91,5,5,0.3131,0.02,0.02
2025-08-05T18:21:51.468807,client_134025785730608,0,17979,0,67080,6041,61039,0.91,5,5,0.2892,0.02,0.02
2025-08-05T18:21:56.480861,client_134025785730608,0,18560,0,68491,6165,62326,0.91,5,5,0.3062,0.02,0.02
2025-08-05T18:22:01.488680,client_134025785730608,7308,20432,0,69990,6289,63701,0.91,5,5,0.3275,0.02,0.02
2025-08-05T18:22:06.504810,client_134025785730608,0,20432,0,71462,6413,65049,0.91,5,5,0.3432,0.02,0.02
2025-08-05T18:22:11.518219,client_134025785730608,0,21023,0,72989,6539,66450,0.91,5,5,0.3489,0.02,0.02
2025-08-05T18:22:16.527996,client_134025785730608,0,21023,0,74478,6664,67814,0.911,5,5,0.3537,0.02,0.02
2025-08-05T18:22:21.536013,client_134025785730608,0,21023,0,75952,6788,69164,0.911,5,5,0.3251,0.02,0.02
2025-08-05T18:22:26.550227,client_134025785730608,18270,21023,0,77446,6911,70535,0.911,5,5,0.3352,0.02,0.02
2025-08-05T18:22:31.559366,client_134025785730608,0,21023,0,78912,7036,71876,0.911,5,5,0.3212,0.02,0.02
2025-08-05T18:22:36.573773,client_134025785730608,2436,21023,0,80284,7160,73124,0.911,5,5,0.305,0.02,0.02
2025-08-05T18:22:41.585834,client_134025785730608,0,21023,0,81679,7286,74393,0.911,5,5,0.3217,0.02,0.02
2025-08-05T18:22:46.594656,client_134025785730608,0,21023,0,83066,7409,75657,0.911,5,5,0.3235,0.02,0.02
2025-08-05T18:22:51.618588,client_134025785730608,0,21023,0,84487,7534,76953,0.911,5,5,0.3061,0.02,0.02
2025-08-05T18:22:56.632055,client_134025785730608,0,21023,0,85975,7659,78316,0.911,5,5,0.3454,0.02,0.02
2025-08-05T18:23:01.645929,client_134025785730608,0,21023,0,87433,7783,79650,0.911,5,5,0.322,0.02,0.02
2025-08-05T18:23:06.660730,client_134025785730608,0,21023,0,88906,7907,80999,0.911,5,5,0.3239,0.02,0.02
2025-08-05T18:23:11.677632,client_134025785730608,11818,21023,0,90382,8032,82350,0.911,5,5,0.3125,0.02,0.02
2025-08-05T18:23:16.692870,client_134025785730608,0,21023,0,91847,8157,83690,0.911,5,5,0.3149,0.02,0.02
2025-08-05T18:23:21.705860,client_134025785730608,0,21023,0,93333,8283,85050,0.911,5,5,0.3253,0.02,0.02
