timestamp,client_id,buffer_size_bytes,max_buffer_size_bytes,buffer_overflows,packets_total,packets_complete,packets_fragmented,fragmentation_rate,streams_active,streams_max_concurrent,throughput_mbps,avg_processing_time_ms,avg_buffer_wait_ms
2025-08-05T19:10:41.610047,client_134025890526176,0,0,0,0,0,0,0.0,0,0,0.0,0,0
2025-08-05T19:10:46.610878,client_134025890526176,0,0,0,0,0,0,0.0,0,0,0.0,0,0
2025-08-05T19:10:51.611814,client_134025890526176,0,18037,0,1237,112,1125,0.909,5,5,0.3108,0.03,0.03
2025-08-05T19:10:56.613032,client_134025890526176,3654,18037,0,2638,236,2402,0.911,5,5,0.3061,0.03,0.03
2025-08-05T19:11:01.613947,client_134025890526176,0,18037,0,4048,361,3687,0.911,5,5,0.3101,0.03,0.03
2025-08-05T19:11:06.617808,client_134025890526176,6090,18037,0,5446,484,4962,0.911,5,5,0.3096,0.03,0.03
2025-08-05T19:11:11.620940,client_134025890526176,0,18037,0,6876,610,6266,0.911,5,5,0.3101,0.03,0.03
2025-08-05T19:11:16.622789,client_134025890526176,1218,18037,0,8282,734,7548,0.911,5,5,0.3088,0.03,0.02
2025-08-05T19:11:21.625162,client_134025890526176,0,18037,0,9675,858,8817,0.911,5,5,0.3083,0.02,0.02
2025-08-05T19:11:26.628137,client_134025890526176,0,18037,0,11041,982,10059,0.911,5,5,0.3036,0.02,0.02
2025-08-05T19:11:31.630979,client_134025890526176,0,18037,0,12428,1106,11322,0.911,5,5,0.3057,0.02,0.02
2025-08-05T19:11:36.634966,client_134025890526176,0,18037,0,13796,1231,12565,0.911,5,5,0.293,0.02,0.02
2025-08-05T19:11:41.637904,client_134025890526176,0,19666,0,15190,1355,13835,0.911,5,5,0.3251,0.02,0.02
2025-08-05T19:11:46.642050,client_134025890526176,0,20326,0,16674,1479,15195,0.911,5,5,0.331,0.02,0.02
2025-08-05T19:11:51.644959,client_134025890526176,0,20326,0,18101,1604,16497,0.911,5,5,0.3197,0.02,0.02
2025-08-05T19:11:56.648899,client_134025890526176,0,20326,0,19522,1728,17794,0.911,5,5,0.3116,0.02,0.02
2025-08-05T19:12:01.653596,client_134025890526176,3654,20326,0,20948,1852,19096,0.912,5,5,0.3176,0.02,0.02
2025-08-05T19:12:06.658526,client_134025890526176,0,22823,0,22520,1977,20543,0.912,5,5,0.3926,0.02,0.02
2025-08-05T19:12:11.663129,client_134025890526176,0,23858,0,24132,2101,22031,0.913,5,5,0.3555,0.02,0.02
2025-08-05T19:12:16.668772,client_134025890526176,0,43249,0,25724,2225,23499,0.914,5,5,0.362,0.02,0.02
2025-08-05T19:12:21.673777,client_134025890526176,0,43249,0,27370,2350,25020,0.914,5,5,0.3885,0.02,0.02
2025-08-05T19:12:26.678153,client_134025890526176,0,43249,0,29040,2474,26566,0.915,5,5,0.3604,0.02,0.02
2025-08-05T19:12:31.684185,client_134025890526176,0,43249,0,30625,2599,28026,0.915,5,5,0.3226,0.02,0.02
2025-08-05T19:12:36.689742,client_134025890526176,0,43249,0,32024,2723,29301,0.915,5,5,0.309,0.02,0.02
2025-08-05T19:12:41.695135,client_134025890526176,0,43249,0,33436,2848,30588,0.915,5,5,0.2988,0.02,0.02
2025-08-05T19:12:46.701648,client_134025890526176,0,43249,0,34829,2972,31857,0.915,5,5,0.3172,0.02,0.02
2025-08-05T19:12:51.708808,client_134025890526176,0,43249,0,36211,3096,33115,0.915,5,5,0.3054,0.02,0.02
2025-08-05T19:12:56.714797,client_134025890526176,0,43249,0,37612,3221,34391,0.914,5,5,0.2972,0.02,0.02
2025-08-05T19:13:01.722042,client_134025890526176,0,43249,0,38998,3345,35653,0.914,5,5,0.3213,0.02,0.02
2025-08-05T19:13:06.730062,client_134025890526176,0,43249,0,40378,3469,36909,0.914,5,5,0.3038,0.02,0.02
2025-08-05T19:13:11.739198,client_134025890526176,0,43249,0,41780,3594,38186,0.914,5,5,0.2958,0.02,0.02
2025-08-05T19:13:16.746225,client_134025890526176,0,43249,0,43099,3718,39381,0.914,5,5,0.292,0.02,0.02
2025-08-05T19:13:21.754131,client_134025890526176,0,43249,0,44458,3842,40616,0.914,5,5,0.3076,0.02,0.02
2025-08-05T19:13:26.761060,client_134025890526176,0,43249,0,45886,3968,41918,0.914,5,5,0.3058,0.02,0.02
2025-08-05T19:13:31.769702,client_134025890526176,15834,43249,0,47229,4091,43138,0.913,5,5,0.2981,0.02,0.02
